"Photo","MLS #","Status","Address","Subdivision-Free Text","Living Area","Year Built","Bedrooms Total","Bathrooms Full","Bathrooms Half","Property Sub Type","List Price","Close Price","Close Date","Days On Market","Price Per SQFT","Lot Size Acres"
"https://cdn.photos.sparkplatform.com/tri/20231024215756783617000000-o.jpg?preset=thumb","2534623","Closed","733 Providence Glen","Providence Glen","1457","2005","3","2","0","Condominium","$395,000","$410,000","10/24/2023","3","$281.40","0.00"
"https://cdn.photos.sparkplatform.com/tri/20240328181412902132000000-o.jpg?preset=thumb","10019798","Closed","405 Presque Isle Lane","Presque Isle Villas","1726","2002","2","3","0","Condominium","$415,000","$411,000","4/30/2024","10","$238.12","0.00"
"https://cdn.photos.sparkplatform.com/tri/20250115195248414481000000-o.jpg?preset=thumb","10074186","Closed","706 Martin Luther King Jr Boulevard","Mill Creek","1136","1990","4","2","0","Condominium","$415,000","$412,000","3/14/2025","15","$362.68","0.00"
"https://cdn.photos.sparkplatform.com/tri/20251002172358515245000000-o.jpg?preset=thumb","10125275","Closed","100 Apple Street","North Forest Hills","1042","1964","3","1","1","Single Family Residence","$425,000","$412,000","11/20/2025","19","$395.39","0.50"
"https://cdn.photos.sparkplatform.com/tri/20250528230515748176000000-o.jpg?preset=thumb","10099390","Closed","301 Presque Isle Lane","Presque Isle Villas","1272","2002","2","2","0","Condominium","$420,000","$412,000","6/27/2025","12","$323.90","0.00"
"https://cdn.photos.sparkplatform.com/tri/20230903013713648697000000-o.jpg?preset=thumb","2478407","Closed","110 Bluefield Road","Pickard Oaks","1811","2002","3","3","0","Townhouse","$435,000","$412,425","1/18/2023","44","$227.73","0.07"
"https://cdn.photos.sparkplatform.com/tri/20241004041027043585000000-o.jpg?preset=thumb","10056389","Closed","109 Essex Drive","Coventry","1587","1983","3","2","0","Townhouse","$429,999","$413,000","4/15/2025","140","$260.24","0.11"
"https://cdn.photos.sparkplatform.com/tri/20230928064829715791000000-o.jpg?preset=thumb","2522741","Closed","708 Copperline Drive","Southern Village","1279","1998","2","2","0","Condominium","$410,000","$413,000","8/9/2023","4","$322.91","0.00"
"https://cdn.photos.sparkplatform.com/tri/20250512122120596606000000-o.jpg?preset=thumb","10095697","Closed","421 Ridgefield Rd Road","Ridgefield North","2453","1957","3","1","1","Single Family Residence","$425,000","$414,500","5/30/2025","2","$168.98","0.26"
"https://cdn.photos.sparkplatform.com/tri/20231124202545605694000000-o.jpg?preset=thumb","2537895","Closed","1209 Hillsborough Road","Castalia Court","1189","1984","2","2","1","Single Family Residence","$399,000","$415,000","11/21/2023","5","$349.03","0.04"
"https://cdn.photos.sparkplatform.com/tri/20240725150234380280000000-o.jpg?preset=thumb","10041086","Closed","401 Presque Isle Lane","Presque Isle Villas","1306","2002","2","2","0","Condominium","$389,900","$415,000","8/13/2024","14","$317.76","0.00"
"https://cdn.photos.sparkplatform.com/tri/20240627182121296483000000-o.jpg?preset=thumb","10038234","Closed","700 Copperline Drive","Southern Village","1244","1998","2","2","0","Condominium","$415,000","$415,000","7/19/2024","8","$333.60","0.00"
"https://cdn.photos.sparkplatform.com/tri/20230809054434908522000000-o.jpg?preset=thumb","2468382","Closed","1007 Mt Carmel Church Road","Not in a Subdivision","1675","1962","3","2","0","Single Family Residence","$430,000","$415,000","5/26/2023","179","$247.76","0.89"
"https://cdn.photos.sparkplatform.com/tri/20241202193923952155000000-o.jpg?preset=thumb","10065613","Closed","714 Martin Luther King Boulevard","Mill Creek","1200","1991","4","2","0","Condominium","$415,000","$415,000","1/10/2025","3","$345.83","0.00"
"https://cdn.photos.sparkplatform.com/tri/20250528142010862378000000-o.jpg?preset=thumb","10099298","Closed","26 Rogerson Drive","Oakwood Estates","833","1952","2","1","0","Single Family Residence","$395,000","$416,000","6/27/2025","3","$499.40","0.24"
"https://cdn.photos.sparkplatform.com/tri/20231109195454576700000000-o.jpg?preset=thumb","2541208","Closed","105 Colchester Court","Colony Lake","1572","1990","3","2","0","Single Family Residence","$427,000","$417,000","1/4/2024","18","$265.27","0.09"
"https://cdn.photos.sparkplatform.com/tri/20230809004211159885000000-o.jpg?preset=thumb","2472428","Closed","104 Covington Drive","Covington Place","1603","1988","3","2","0","Single Family Residence","$450,000","$418,000","2/7/2023","124","$260.76","0.16"
"https://cdn.photos.sparkplatform.com/tri/20230928065140398257000000-o.jpg?preset=thumb","2524383","Closed","124 Vintage Drive","Vineyard Square","2082","2005","3","2","1","Townhouse","$393,000","$418,000","9/5/2023","3","$200.77","0.04"
"https://cdn.photos.sparkplatform.com/tri/20250529150140832552000000-o.jpg?preset=thumb","10099541","Closed","620 Martin Luther King Jr. Boulevard","The Gables","1438","1985","2","2","0","Condominium","$450,000","$418,000","9/26/2025","82","$290.68","0.00"
"https://cdn.photos.sparkplatform.com/tri/20230928063641822688000000-o.jpg?preset=thumb","2519027","Closed","208 Ridge Trail","Village West","2768","1975","4","4","0","Townhouse","$425,000","$419,000","8/31/2023","5","$151.37","0.04"
"https://cdn.photos.sparkplatform.com/tri/20250903183851022334000000-o.jpg?preset=thumb","10064942","Closed","132 Malbec Drive","Stanat Place","1566","2024","3","2","1","Townhouse","$419,202","$419,202","11/10/2025","0","$267.69","0.05"
"https://cdn.photos.sparkplatform.com/tri/20241008181741970547000000-o.jpg?preset=thumb","10057116","Closed","305 Deepwood Road","Franklin Hills","1744","1981","2","2","1","Townhouse","$419,500","$419,500","2/11/2025","88","$240.54","0.03"
"https://cdn.photos.sparkplatform.com/tri/20230903013727267706000000-o.jpg?preset=thumb","2483423","Closed","420 Tinkerbell Road","Colony Woods","1762","1965","3","3","0","Single Family Residence","$419,900","$420,000","3/1/2023","13","$238.37","0.31"
"https://cdn.photos.sparkplatform.com/tri/20250121184155793752000000-o.jpg?preset=thumb","10072215","Closed","109 Gristmill Lane","Summerfield Crossing","1395","1983","3","2","0","Townhouse","$390,000","$420,000","2/11/2025","4","$301.08","0.06"
"https://cdn.photos.sparkplatform.com/tri/20231014005909722290000000-o.jpg?preset=thumb","2530376","Closed","7709 Rogers Road","Not in a Subdivision","2020","2014","3","2","1","Single Family Residence","$430,000","$420,000","10/13/2023","9","$207.92","0.44"
"https://cdn.photos.sparkplatform.com/tri/20240125145632935138000000-o.jpg?preset=thumb","10007987","Closed","1207 Old Sawmill Road","Not in a Subdivision","1400","1980","3","2","0","Single Family Residence","$399,000","$420,000","3/8/2024","7","$300.00","1.25"
"https://cdn.photos.sparkplatform.com/tri/20240112182130059026000000-o.jpg?preset=thumb","10006092","Closed","140 W Franklin Street","140 West Franklin Condominium","572","2012","1","1","0","Condominium","$429,900","$420,000","4/2/2024","36","$734.27","0.00"
"https://cdn.photos.sparkplatform.com/tri/20250304195207987076000000-o.jpg?preset=thumb","10080266","Closed","159 Viburnum Way","Pacifica","1146","2006","2","1","1","Townhouse","$392,000","$420,000","4/9/2025","4","$366.49","0.02"
"https://cdn.photos.sparkplatform.com/tri/20250304215315549483000000-o.jpg?preset=thumb","10080085","Closed","200 Eastwood Road","Not in a Subdivision","2166","1977","4","2","1","Single Family Residence","$375,000","$420,000","3/31/2025","2","$193.91","1.09"
"https://cdn.photos.sparkplatform.com/tri/20251025003721400566000000-o.jpg?preset=thumb","10129743","Closed","107 Mulberry Street","Mulberry St Condos","1368","2004","3","2","0","Condominium","$420,000","$420,000","11/18/2025","5","$307.02","1.00"
"https://cdn.photos.sparkplatform.com/tri/20250607024738593518000000-o.jpg?preset=thumb","10101574","Closed","604 Eden Lane","Briarcliff","2301","1971","4","2","1","Single Family Residence","$490,000","$420,000","7/17/2025","8","$182.53","0.50"
"https://cdn.photos.sparkplatform.com/tri/20251018184449813644000000-o.jpg?preset=thumb","10128972","Closed","316 Brooks Street","Northside","1344","1967","4","2","0","Single Family Residence","$369,000","$420,000","11/18/2025","0","$312.50","0.25"
"https://cdn.photos.sparkplatform.com/tri/20230809004144822994000000-o.jpg?preset=thumb","2493405","Closed","315 Kirkwood Drive","Kirkwood","1462","1987","3","2","0","Townhouse","$399,000","$420,000","2/24/2023","1","$287.28","0.06"
"https://cdn.photos.sparkplatform.com/tri/20250613200846292993000000-o.jpg?preset=thumb","10102299","Closed","111 Weavers Grv Drive","Weavers Grove","1718","2025","3","2","1","Single Family Residence","$449,990","$422,500","9/29/2025","0","$245.93","0.10"
"https://cdn.photos.sparkplatform.com/tri/20230928061214781329000000-o.jpg?preset=thumb","2513604","Closed","305 McGregor","Erwin Village","1421","1995","3","2","0","Townhouse","$375,000","$423,168","7/17/2023","3","$297.80","0.10"
