scheme,source_zone,destination_magnet,race,count
mae_fit,Seawell Elementary,FPG Elementary,nhpi_nh,0.0003846181950253732
mae_fit,Seawell Elementary,FPG Elementary,other_nh,0.05008341698382233
mae_fit,Seawell Elementary,FPG Elementary,two_plus_nh,0.19441530057666354
mae_fit,Ephesus Elementary,Carrboro Elementary,white_nh,24.325877223256725
mae_fit,Ephesus Elementary,Carrboro Elementary,black_nh,0.38926601983001874
mae_fit,Ephesus Elementary,Carrboro Elementary,asian_nh,0.5717085231435723
mae_fit,Ephesus Elementary,Carrboro Elementary,hispanic,0.12048936333090314
mae_fit,Ephesus Elementary,Carrboro Elementary,aian_nh,0.004774997729421016
mae_fit,Ephesus Elementary,Carrboro Elementary,nhpi_nh,9.967203233431756e-08
mae_fit,Ephesus Elementary,Carrboro Elementary,other_nh,0.01566788619588281
mae_fit,Ephesus Elementary,Carrboro Elementary,two_plus_nh,0.6014696114670797
mae_fit,Estes Hills Elementary,Carrboro Elementary,white_nh,22.00528292936382
mae_fit,Estes Hills Elementary,Carrboro Elementary,black_nh,0.18935356430953312
mae_fit,Estes Hills Elementary,Carrboro Elementary,asian_nh,0.7981343259796941
mae_fit,Estes Hills Elementary,Carrboro Elementary,hispanic,0.11112939703820592
mae_fit,Estes Hills Elementary,Carrboro Elementary,aian_nh,0.013367411852502984
mae_fit,Estes Hills Elementary,Carrboro Elementary,nhpi_nh,0.0022277064998850633
mae_fit,Estes Hills Elementary,Carrboro Elementary,other_nh,0.03351139366347805
mae_fit,Estes Hills Elementary,Carrboro Elementary,two_plus_nh,0.6511339352191132
mae_fit,Glenwood Elementary,Carrboro Elementary,white_nh,3.3971808873363245
mae_fit,Glenwood Elementary,Carrboro Elementary,black_nh,0.04482116906117609
mae_fit,Glenwood Elementary,Carrboro Elementary,asian_nh,0.027049221944503144
mae_fit,Glenwood Elementary,Carrboro Elementary,hispanic,0.015529171525284857
mae_fit,Glenwood Elementary,Carrboro Elementary,aian_nh,0.03341599253651597
mae_fit,Glenwood Elementary,Carrboro Elementary,other_nh,0.0003296226582043748
mae_fit,Glenwood Elementary,Carrboro Elementary,two_plus_nh,0.0056131481725353065
mae_fit,McDougle Elementary,Carrboro Elementary,white_nh,42.15890249232307
mae_fit,McDougle Elementary,Carrboro Elementary,black_nh,0.5621175546290089
mae_fit,McDougle Elementary,Carrboro Elementary,asian_nh,0.570646235178706
mae_fit,McDougle Elementary,Carrboro Elementary,hispanic,0.2856387724493251
mae_fit,McDougle Elementary,Carrboro Elementary,aian_nh,0.00014202843988700268
mae_fit,McDougle Elementary,Carrboro Elementary,other_nh,0.02047185138801036
mae_fit,McDougle Elementary,Carrboro Elementary,two_plus_nh,0.5678803238500173
mae_fit,Morris Grove Elementary,Carrboro Elementary,white_nh,20.381111193599512
mae_fit,Morris Grove Elementary,Carrboro Elementary,black_nh,0.6634303836902857
mae_fit,Morris Grove Elementary,Carrboro Elementary,asian_nh,1.049119825078589
mae_fit,Morris Grove Elementary,Carrboro Elementary,hispanic,0.135069787106932
mae_fit,Morris Grove Elementary,Carrboro Elementary,aian_nh,0.021176828263996327
mae_fit,Morris Grove Elementary,Carrboro Elementary,nhpi_nh,0.0011294125836360503
mae_fit,Morris Grove Elementary,Carrboro Elementary,other_nh,0.010865117967513748
mae_fit,Morris Grove Elementary,Carrboro Elementary,two_plus_nh,0.3651388246059867
mae_fit,Northside Elementary,Carrboro Elementary,white_nh,29.347400741393564
mae_fit,Northside Elementary,Carrboro Elementary,black_nh,0.47035338565740314
mae_fit,Northside Elementary,Carrboro Elementary,asian_nh,0.7335932589571876
mae_fit,Northside Elementary,Carrboro Elementary,hispanic,0.15178989624151493
mae_fit,Northside Elementary,Carrboro Elementary,aian_nh,0.019341849541709366
mae_fit,Northside Elementary,Carrboro Elementary,nhpi_nh,0.0006059977798883506
mae_fit,Northside Elementary,Carrboro Elementary,other_nh,0.008355600569488206
mae_fit,Northside Elementary,Carrboro Elementary,two_plus_nh,0.28040444788804075
mae_fit,Rashkis Elementary,Carrboro Elementary,white_nh,12.725302039133382
mae_fit,Rashkis Elementary,Carrboro Elementary,black_nh,0.22198634330114986
mae_fit,Rashkis Elementary,Carrboro Elementary,asian_nh,0.7334014744238315
mae_fit,Rashkis Elementary,Carrboro Elementary,hispanic,0.05246875906493709
mae_fit,Rashkis Elementary,Carrboro Elementary,aian_nh,0.0010516366879489425
mae_fit,Rashkis Elementary,Carrboro Elementary,other_nh,0.004925446942954622
mae_fit,Rashkis Elementary,Carrboro Elementary,two_plus_nh,0.11534346578149797
mae_fit,Scroggs Elementary,Carrboro Elementary,white_nh,22.83005951188315
mae_fit,Scroggs Elementary,Carrboro Elementary,black_nh,0.41611345635158326
mae_fit,Scroggs Elementary,Carrboro Elementary,asian_nh,0.5319795270289603
mae_fit,Scroggs Elementary,Carrboro Elementary,hispanic,0.09715934603293118
mae_fit,Scroggs Elementary,Carrboro Elementary,aian_nh,0.04760382074084405
mae_fit,Scroggs Elementary,Carrboro Elementary,other_nh,0.013796407845520931
mae_fit,Scroggs Elementary,Carrboro Elementary,two_plus_nh,0.14953227363599694
mae_fit,Seawell Elementary,Carrboro Elementary,white_nh,5.73024080059465
mae_fit,Seawell Elementary,Carrboro Elementary,black_nh,0.16478839209535345
mae_fit,Seawell Elementary,Carrboro Elementary,asian_nh,0.2381138770514535
mae_fit,Seawell Elementary,Carrboro Elementary,hispanic,0.03446183000503044
mae_fit,Seawell Elementary,Carrboro Elementary,aian_nh,0.004370138969068139
mae_fit,Seawell Elementary,Carrboro Elementary,nhpi_nh,0.00012472813637963393
mae_fit,Seawell Elementary,Carrboro Elementary,other_nh,0.021546378075951063
mae_fit,Seawell Elementary,Carrboro Elementary,two_plus_nh,0.07850228001750004
mae_fit,Carrboro Elementary,Glenwood Elementary,white_nh,23.070693751804903
mae_fit,Carrboro Elementary,Glenwood Elementary,black_nh,3.302853813119667
mae_fit,Carrboro Elementary,Glenwood Elementary,asian_nh,2.317348081165232
mae_fit,Carrboro Elementary,Glenwood Elementary,hispanic,0.35802863307772426
mae_fit,Carrboro Elementary,Glenwood Elementary,aian_nh,4.374617408724235e-06
mae_fit,Carrboro Elementary,Glenwood Elementary,other_nh,0.3432952572200143
mae_fit,Carrboro Elementary,Glenwood Elementary,two_plus_nh,0.6575303922707678
mae_fit,Ephesus Elementary,Glenwood Elementary,white_nh,23.91408252711038
mae_fit,Ephesus Elementary,Glenwood Elementary,black_nh,8.199022651904228
mae_fit,Ephesus Elementary,Glenwood Elementary,asian_nh,3.9784788842648897
mae_fit,Ephesus Elementary,Glenwood Elementary,hispanic,2.1021380949676813
mae_fit,Ephesus Elementary,Glenwood Elementary,aian_nh,0.013879825081893601
mae_fit,Ephesus Elementary,Glenwood Elementary,nhpi_nh,2.1133483021380548e-06
mae_fit,Ephesus Elementary,Glenwood Elementary,other_nh,0.16098725008657197
mae_fit,Ephesus Elementary,Glenwood Elementary,two_plus_nh,4.681913129323895
mae_fit,Estes Hills Elementary,Glenwood Elementary,white_nh,16.981551134078977
mae_fit,Estes Hills Elementary,Glenwood Elementary,black_nh,2.238188645900667
mae_fit,Estes Hills Elementary,Glenwood Elementary,asian_nh,4.110151463879247
mae_fit,Estes Hills Elementary,Glenwood Elementary,hispanic,0.8367995815828941
mae_fit,Estes Hills Elementary,Glenwood Elementary,aian_nh,0.058994785097634034
mae_fit,Estes Hills Elementary,Glenwood Elementary,nhpi_nh,0.046533506260855576
mae_fit,Estes Hills Elementary,Glenwood Elementary,other_nh,0.24580416304665095
mae_fit,Estes Hills Elementary,Glenwood Elementary,two_plus_nh,3.6103904521652717
mae_fit,McDougle Elementary,Glenwood Elementary,white_nh,36.37628522496757
mae_fit,McDougle Elementary,Glenwood Elementary,black_nh,6.285584381159338
mae_fit,McDougle Elementary,Glenwood Elementary,asian_nh,3.9528491143295312
mae_fit,McDougle Elementary,Glenwood Elementary,hispanic,2.5106483357048557
mae_fit,McDougle Elementary,Glenwood Elementary,aian_nh,0.000707977022211231
mae_fit,McDougle Elementary,Glenwood Elementary,other_nh,0.14434239409719757
mae_fit,McDougle Elementary,Glenwood Elementary,two_plus_nh,3.8346171081268925
mae_fit,Morris Grove Elementary,Glenwood Elementary,white_nh,21.222387817916786
mae_fit,Morris Grove Elementary,Glenwood Elementary,black_nh,5.45077090116421
mae_fit,Morris Grove Elementary,Glenwood Elementary,asian_nh,7.825095855811572
mae_fit,Morris Grove Elementary,Glenwood Elementary,hispanic,1.178252483372654
mae_fit,Morris Grove Elementary,Glenwood Elementary,aian_nh,0.2006221866629216
mae_fit,Morris Grove Elementary,Glenwood Elementary,nhpi_nh,0.018753904002617318
mae_fit,Morris Grove Elementary,Glenwood Elementary,other_nh,0.15144006476970226
mae_fit,Morris Grove Elementary,Glenwood Elementary,two_plus_nh,2.7857618205191588
mae_fit,Northside Elementary,Glenwood Elementary,white_nh,36.14533580452899
mae_fit,Northside Elementary,Glenwood Elementary,black_nh,9.063397813099064
mae_fit,Northside Elementary,Glenwood Elementary,asian_nh,6.291793760430873
mae_fit,Northside Elementary,Glenwood Elementary,hispanic,1.8579476678345184
mae_fit,Northside Elementary,Glenwood Elementary,aian_nh,0.2411741788603522
mae_fit,Northside Elementary,Glenwood Elementary,nhpi_nh,0.007377406347288666
mae_fit,Northside Elementary,Glenwood Elementary,other_nh,0.18516250078377872
mae_fit,Northside Elementary,Glenwood Elementary,two_plus_nh,2.923706844915767
mae_fit,Rashkis Elementary,Glenwood Elementary,white_nh,21.077472522114498
mae_fit,Rashkis Elementary,Glenwood Elementary,black_nh,4.203749260261461
mae_fit,Rashkis Elementary,Glenwood Elementary,asian_nh,7.562027807112153
mae_fit,Rashkis Elementary,Glenwood Elementary,hispanic,0.8971783926923544
mae_fit,Rashkis Elementary,Glenwood Elementary,aian_nh,0.01144385606217605
mae_fit,Rashkis Elementary,Glenwood Elementary,other_nh,0.06913622431349048
mae_fit,Rashkis Elementary,Glenwood Elementary,two_plus_nh,1.5668014588918258
mae_fit,Scroggs Elementary,Glenwood Elementary,white_nh,22.417847293274868
mae_fit,Scroggs Elementary,Glenwood Elementary,black_nh,5.368535848625658
mae_fit,Scroggs Elementary,Glenwood Elementary,asian_nh,4.459664098984076
mae_fit,Scroggs Elementary,Glenwood Elementary,hispanic,1.2832076545134738
mae_fit,Scroggs Elementary,Glenwood Elementary,aian_nh,0.32828162569883745
