name,license_number,address,city,state,zip_code,phone,star_rating,capacity,facility_type,source_zip
ANN BARKLEY DAY CARE HOME,68000075,"100 ELDERBERRY DRIVE, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 967-3739,,,Family Child Care Home,27514
LITTLE OWL'S NEST,68000515,"6 TIMBERLYNE RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(857) 544-3212,,,Family Child Care Home,27514
NURTURED BABY,68000541,"750 E FRANKLIN STREET, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 236-9531,,,Family Child Care Home,27514
THE COZY CORNER,68000533,"103 A LOUIS ARMSTRONG COURT, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 370-2764,,,Family Child Care Home,27514
A TODDLER'S PLACE,68000481,"126 WINDSOR PLACE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 240-4649,,,Family Child Care Home,27516
DIAS FELICES,68000421,"108 WOODCREST DRIVE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 619-3890,,,Family Child Care Home,27516
KID'S GARDEN,68000463,"119 WORSHAM DRIVE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 360-8395,,,Family Child Care Home,27516
ONE TWO BUCKLE MY SHOE,68000257,"2406 NEVILLE RD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 933-8165,,,Family Child Care Home,27516
