school,centers_0.25mi,centers_0.5mi,centers_1.0mi,centers_2.0mi
Carrboro Elementary,0,0,0,1
Ephesus Elementary,0,1,1,3
Estes Hills Elementary,0,0,1,5
Frank Porter Graham Bilingue,0,0,1,1
Glenwood Elementary,0,0,0,1
McDougle Elementary,0,0,0,0
Morris Grove Elementary,0,0,0,0
Northside Elementary,0,0,0,2
Rashkis Elementary,0,0,0,2
Scroggs Elementary,0,0,1,1
Seawell Elementary,0,0,0,3
