center_name,license_number,address,center_lat,center_lon,phone,capacity,star_rating,nearest_school,distance_miles
THE COZY CORNER,68000533,"103 A LOUIS ARMSTRONG COURT, CHAPEL HILL, NC 27514",35.9473201,-79.0468886,(919) 370-2764,,,Estes Hills Elementary,0.216
ANN BARKLEY DAY CARE HOME,68000075,"100 ELDERBERRY DRIVE, CHAPEL HILL, NC 27514",35.9380114,-79.0132191,(919) 967-3739,,,Ephesus Elementary,0.262
NURTURED BABY,68000541,"750 E FRANKLIN STREET, CHAPEL HILL, NC 27514",35.9181837,-79.0396821,(919) 236-9531,,,Frank Porter Graham Bilingue,0.713
A TODDLER'S PLACE,68000481,"126 WINDSOR PLACE, CHAPEL HILL, NC 27516",35.9436867,-79.0607714,(919) 240-4649,,,Estes Hills Elementary,0.788
DIAS FELICES,68000421,"108 WOODCREST DRIVE, CHAPEL HILL, NC 27516",35.890405,-79.0790861,(919) 619-3890,,,Rashkis Elementary,0.817
LITTLE OWL'S NEST,68000515,"6 TIMBERLYNE RD, CHAPEL HILL, NC 27514",35.9630007,-79.0479024,(857) 544-3212,,,Estes Hills Elementary,1.301
KID'S GARDEN,68000463,"119 WORSHAM DRIVE, CHAPEL HILL, NC 27516",35.958611,-79.0677912,(919) 360-8395,,,Estes Hills Elementary,1.544
ONE TWO BUCKLE MY SHOE,68000257,"2406 NEVILLE RD, CHAPEL HILL, NC 27516",35.9160784,-79.1340238,(919) 933-8165,,,Seawell Elementary,3.059
