name,license_number,address,city,state,zip_code,lat,lon,phone,star_rating,capacity,facility_type,geocoded
ANN BARKLEY DAY CARE HOME,68000075,"100 ELDERBERRY DRIVE, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9380114,-79.0132191,(919) 967-3739,,,Family Child Care Home,True
LITTLE OWL'S NEST,68000515,"6 TIMBERLYNE RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9630007,-79.0479024,(857) 544-3212,,,Family Child Care Home,True
NURTURED BABY,68000541,"750 E FRANKLIN STREET, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9181837,-79.0396821,(919) 236-9531,,,Family Child Care Home,True
THE COZY CORNER,68000533,"103 A LOUIS ARMSTRONG COURT, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,35.9473201,-79.0468886,(919) 370-2764,,,Family Child Care Home,True
A TODDLER'S PLACE,68000481,"126 WINDSOR PLACE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9436867,-79.0607714,(919) 240-4649,,,Family Child Care Home,True
DIAS FELICES,68000421,"108 WOODCREST DRIVE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.890405,-79.0790861,(919) 619-3890,,,Family Child Care Home,True
KID'S GARDEN,68000463,"119 WORSHAM DRIVE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.958611,-79.0677912,(919) 360-8395,,,Family Child Care Home,True
ONE TWO BUCKLE MY SHOE,68000257,"2406 NEVILLE RD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,35.9160784,-79.1340238,(919) 933-8165,,,Family Child Care Home,True
